feature,importance,model,profile,split_count
already_compressed_score,0.005977286312014346,random_forest,balanced,10
magic_signature_category=unknown,0.005977286312014346,random_forest,balanced,10
extension=.md,0.005977286312014346,random_forest,balanced,10
extension=.rand,0.005379557680812911,random_forest,balanced,9
extension=.mp4,0.005379557680812911,random_forest,balanced,9
is_already_compressed,0.005379557680812911,random_forest,balanced,9
extension=.json,0.004781829049611476,random_forest,balanced,8
mime_category=text,0.004781829049611476,random_forest,balanced,8
is_binary_like,0.004781829049611476,random_forest,balanced,8
magic_signature_category=iso-media,0.0041841004184100415,random_forest,balanced,7
extension=.csv,0.0041841004184100415,random_forest,balanced,7
is_text_like,0.0041841004184100415,random_forest,balanced,7
extension=.pt,0.0035863717872086074,random_forest,balanced,6
extension=.xml,0.0035863717872086074,random_forest,balanced,6
magic_signature_category=zip,0.0035863717872086074,random_forest,balanced,6
extension=.png,0.0035863717872086074,random_forest,balanced,6
extension=.tsx,0.002988643156007173,random_forest,balanced,5
mime_category=video,0.002988643156007173,random_forest,balanced,5
extension=.log,0.002988643156007173,random_forest,balanced,5
mime_category=image,0.002988643156007173,random_forest,balanced,5
extension=.gz,0.002390914524805738,random_forest,balanced,4
extension=.old,0.002390914524805738,random_forest,balanced,4
extension=.dll,0.002390914524805738,random_forest,balanced,4
magic_signature_category=pe,0.0017931858936043037,random_forest,balanced,3
extension=.ps1,0.0017931858936043037,random_forest,balanced,3
extension=.ts,0.0017931858936043037,random_forest,balanced,3
extension=.txt,0.0017931858936043037,random_forest,balanced,3
mime_category=unknown,0.0017931858936043037,random_forest,balanced,3
extension=.rs,0.001195457262402869,random_forest,balanced,2
extension=.js,0.001195457262402869,random_forest,balanced,2
extension=.py,0.001195457262402869,random_forest,balanced,2
extension=.map,0.001195457262402869,random_forest,balanced,2
magic_signature_category=gzip,0.001195457262402869,random_forest,balanced,2
extension=<none>,0.001195457262402869,random_forest,balanced,2
magic_signature_category=png,0.001195457262402869,random_forest,balanced,2
extension=.dart,0.001195457262402869,random_forest,balanced,2
extension=.lock,0.001195457262402869,random_forest,balanced,2
extension=.ipynb,0.001195457262402869,random_forest,balanced,2
extension=.cache,0.001195457262402869,random_forest,balanced,2
extension=.bat,0.0005977286312014345,random_forest,balanced,1
extension=.pdb,0.0005977286312014345,random_forest,balanced,1
extension=.html,0.0005977286312014345,random_forest,balanced,1
extension=.css,0.0005977286312014345,random_forest,balanced,1
extension=.example,0.0005977286312014345,random_forest,balanced,1
extension=.razor,0.0005977286312014345,random_forest,balanced,1
mime_category=archive,0.0005977286312014345,random_forest,balanced,1
extension=.stamp,0.0005977286312014345,random_forest,balanced,1
extension=.manifest,0.0005977286312014345,random_forest,balanced,1
extension=.svg,0.0005977286312014345,random_forest,balanced,1
extension=.exe,0.0005977286312014345,random_forest,balanced,1
extension=.bin,0.0005977286312014345,random_forest,balanced,1
