SHA_PASS,actual_bpb,category,compressed_bytes,compression_ms,decompression_ms,oracle_strategy,original_bytes,profile,reason,size_bucket,source,source_id,status,strategies_measured
True,2.004969826056088,logs,706,23.868700009188615,47.0908999996027,deflate|9|identity,2817,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\phase_g_run.log,cd260a4c13627b0f1896,PASS,27
True,1.862974795882144,logs,656,65.86250000691507,82.21670000057202,brotli|6|dictionary,2817,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\phase_g_run.log,cd260a4c13627b0f1896,PASS,27
True,15.151515151515152,markdown,125,42.405899992445484,145.12159999867436,brotli|11|identity,66,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\tools\qt_inspector\README.md,aedca929aa742fd71e9b,PASS,27
True,15.515151515151516,markdown,128,23.4348000085447,26.997100008884445,raw|default|identity,66,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\tools\qt_inspector\README.md,aedca929aa742fd71e9b,PASS,27
True,15.515151515151516,markdown,128,23.4348000085447,26.997100008884445,raw|default|identity,66,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\tools\qt_inspector\README.md,aedca929aa742fd71e9b,PASS,27
True,4.892857142857143,markdown,274,41.0050000064075,86.56019999762066,brotli|11|identity,448,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\reports\experiment_report.md,81a445cc02e5ab1cabd2,PASS,27
True,5.642857142857143,markdown,316,28.882899991003796,26.770199998281896,brotli|6|identity,448,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\reports\experiment_report.md,81a445cc02e5ab1cabd2,PASS,27
True,4.892857142857143,markdown,274,41.0050000064075,86.56019999762066,brotli|11|identity,448,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\reports\experiment_report.md,81a445cc02e5ab1cabd2,PASS,27
True,3.819548872180451,model,508,28.06290000444278,105.5052000010619,brotli|9|identity,1064,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\data\test\archive\results\checkpoint-140\scheduler.pt,b09d33b1dd2c5da1b94b,PASS,27
True,4.195488721804511,model,558,14.373699988937005,57.491299987304956,zstd|6|identity,1064,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\data\test\archive\results\checkpoint-140\scheduler.pt,b09d33b1dd2c5da1b94b,PASS,27
True,3.8345864661654137,model,510,25.26680000300985,74.02459999138955,brotli|6|identity,1064,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\data\test\archive\results\checkpoint-140\scheduler.pt,b09d33b1dd2c5da1b94b,PASS,27
True,6.754159228846841,model,23648,107.35120000026654,116.95019999751821,lzma2|3|byte-shuffle,28010,smallest,,16_64KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\.test-tmp\final-all\test_neural_rans_roundtrip0\tiny.pt,1dd8a06c1d6eba581589,PASS,26
True,7.026062120671189,model,24600,23.30210000218358,55.29160000151023,deflate|6|identity,28010,fastest,,16_64KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\.test-tmp\final-all\test_neural_rans_roundtrip0\tiny.pt,1dd8a06c1d6eba581589,PASS,26
True,7.026062120671189,model,24600,23.30210000218358,55.29160000151023,deflate|6|identity,28010,balanced,,16_64KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\.test-tmp\final-all\test_neural_rans_roundtrip0\tiny.pt,1dd8a06c1d6eba581589,PASS,26
True,9.719626168224298,source_code,130,31.788899999810383,105.41790000570472,brotli|6|identity,107,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\web_angular\SETUP_WINDOWS.bat,a208d145692f560be957,PASS,27
True,12.785046728971963,source_code,171,18.35650000430178,75.47949999570847,bzip2|9|identity,107,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\web_angular\SETUP_WINDOWS.bat,a208d145692f560be957,PASS,27
True,9.719626168224298,source_code,130,31.788899999810383,105.41790000570472,brotli|6|identity,107,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\web_angular\SETUP_WINDOWS.bat,a208d145692f560be957,PASS,27
True,10.194690265486726,source_code,144,22.944299998926,169.30080000020098,brotli|4|identity,113,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\server\next-font-manifest.js,79bb325c3295747efea3,PASS,27
True,12.389380530973451,source_code,175,28.23050000006333,34.462099996744655,raw|default|identity,113,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\server\next-font-manifest.js,79bb325c3295747efea3,PASS,27
True,10.194690265486726,source_code,144,22.944299998926,169.30080000020098,brotli|4|identity,113,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\server\next-font-manifest.js,79bb325c3295747efea3,PASS,27
True,2.0588756522595255,source_code,5228,305.2132000011625,90.16549999068957,brotli|11|identity,20314,smallest,,16_64KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\server\webpack-runtime.js,0ff9b372da6fcecbdc8a,PASS,26
True,2.305798956384759,source_code,5855,22.899300005519763,21.87440000125207,zstd|9|identity,20314,fastest,,16_64KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\server\webpack-runtime.js,0ff9b372da6fcecbdc8a,PASS,26
True,2.305798956384759,source_code,5855,22.899300005519763,21.87440000125207,zstd|9|identity,20314,balanced,,16_64KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\server\webpack-runtime.js,0ff9b372da6fcecbdc8a,PASS,26
True,11.345454545454546,text,156,40.82870000274852,409.0093999984674,brotli|4|identity,110,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\requirements.txt,0ebdf4283c5b6a0215ac,PASS,27
True,12.50909090909091,text,172,22.623400000156835,31.32270000060089,raw|default|identity,110,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\requirements.txt,0ebdf4283c5b6a0215ac,PASS,27
True,11.636363636363637,text,160,28.062500001396984,124.8500000074273,brotli|6|dictionary,110,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\requirements.txt,0ebdf4283c5b6a0215ac,PASS,27
True,2.923747276688453,text,671,67.15830000757705,121.92849999701139,brotli|11|identity,1836,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\desktop_flutter\windows\runner\CMakeLists.txt,4bb6ea144fbc0976bcbe,PASS,27
True,3.738562091503268,text,858,22.41390000563115,81.18059999833349,zstd|3|identity,1836,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\desktop_flutter\windows\runner\CMakeLists.txt,4bb6ea144fbc0976bcbe,PASS,27
True,2.923747276688453,text,671,67.15830000757705,121.92849999701139,brotli|11|identity,1836,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\desktop_flutter\windows\runner\CMakeLists.txt,4bb6ea144fbc0976bcbe,PASS,27
True,7.990122074201326,video,1469747,178.58109998633154,175.4872999881627,zstd|9|identity,1471564,smallest,,1_10MiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\data\test\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_09__walk_down_hall_angry__6KUOFMZW.mp4,48e21ec2f07a239cb0db,PASS,26
True,7.990122074201326,video,1469747,178.58109998633154,175.4872999881627,zstd|9|identity,1471564,fastest,,1_10MiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\data\test\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_09__walk_down_hall_angry__6KUOFMZW.mp4,48e21ec2f07a239cb0db,PASS,26
True,7.990122074201326,video,1469747,178.58109998633154,175.4872999881627,zstd|9|identity,1471564,balanced,,1_10MiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\data\test\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_09__walk_down_hall_angry__6KUOFMZW.mp4,48e21ec2f07a239cb0db,PASS,26
True,7.987266744333395,video,1563172,2111.1983000009786,1035.5756000062684,brotli|9|identity,1565664,smallest,,1_10MiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\data\test\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_18__walk_down_hall_angry__B95S4G6F.mp4,75ac8e38c89544f86012,PASS,26
True,8.000602939072495,video,1565782,263.48609999695327,438.7133999989601,zstd|1|identity,1565664,fastest,,1_10MiB,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\data\test\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_18__walk_down_hall_angry__B95S4G6F.mp4,75ac8e38c89544f86012,PASS,26
