SHA_PASS,actual_bpb,candidate_generation_ms,category,chunks,compressed_bytes,compression_MiB_s,compression_ms,decompression_MiB_s,decompression_ms,feature_scan_ms,inference_ms,metadata_bytes,metadata_percent,method,microbenchmark_ms,oracle_bytes,oracle_gap_percent,oracle_strategy,original_bytes,peak_RSS_MB,plan_mode,ratio,routing_mode,selected_strategy,selection_ms,selector_confidence,size_bucket,source,source_id,status
True,18.122448979591837,0.0,binary,1,111,0.009359673410335514,4.992700007278472,0.002623912312297755,17.809299984946847,0.005499983672052622,0.0,62,55.85585585585586,G_compact_adaptive,0.0,,,,49,215.76953125,whole_file,0.44144144144144143,confidence,"[""raw|default|identity""]",0.23170001804828644,1.0,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.gitignore,5f8724e09072ab9a265f,PASS
True,18.122448979591837,0.0,binary,1,111,0.0001624697659857033,287.6230000110809,4.536455479494566e-05,1030.10030000587,0.1303999888477847,0.0,62,55.85585585585586,H_full_v2,0.0,111,0.0,brotli|6|dictionary,49,327.125,whole_file,0.44144144144144143,confidence,"[""raw|default|identity""]",5.238500001723878,1.0,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.gitignore,5f8724e09072ab9a265f,PASS
True,8.592592592592593,,binary,,58,0.01568447739128134,3.283400001237169,6.204624350423934,0.008300004992634058,,,,,A_fixed_best,,,,,54,204.47265625,,0.9310344827586207,,brotli-11,,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\mobile_authenticator_flutter\android\.gradle\buildOutputCleanup\cache.properties,a79486349dd2e056bef1,PASS
True,121.92592592592592,5.4546000028494745,binary,,823,0.0005312757002212765,96.93349999724887,0.003424392608755316,15.038699988508597,78.56339999125339,2.7311999874655157,769,93.43863912515188,B_hybrid_v1,4.192799999145791,,,,54,221.375,,0.06561360874848117,,"{""raw"": 1}",85.4873999778647,N/A,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\mobile_authenticator_flutter\android\.gradle\buildOutputCleanup\cache.properties,a79486349dd2e056bef1,PASS
True,117.48148148148148,,binary,,793,0.024269953193567645,2.121899975463748,0.004291605955468632,11.999799986369908,0.006099988240748644,0.0,739,93.19041614123581,C_ai_only,0.0,,,,54,215.76953125,,0.06809583858764187,,"{""raw|default|identity"": 1}",,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\mobile_authenticator_flutter\android\.gradle\buildOutputCleanup\cache.properties,a79486349dd2e056bef1,PASS
True,117.48148148148148,,binary,,793,0.03086324672295419,1.6685999871697277,0.0030337619846531735,16.975100006675348,0.005400012014433742,0.0,739,93.19041614123581,D_ai_top2,0.0,,,,54,215.76953125,,0.06809583858764187,,"{""raw|default|identity"": 1}",,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\mobile_authenticator_flutter\android\.gradle\buildOutputCleanup\cache.properties,a79486349dd2e056bef1,PASS
True,119.25925925925925,,binary,,805,0.0310830598525338,1.6567999846301973,0.00197871426205177,26.026199979241937,0.004799978341907263,0.0,751,93.2919254658385,E_confidence_adaptive,0.0,,,,54,215.76953125,,0.0670807453416149,,"{""raw|default|identity"": 1}",,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\mobile_authenticator_flutter\android\.gradle\buildOutputCleanup\cache.properties,a79486349dd2e056bef1,PASS
True,17.48148148148148,0.0,binary,1,118,0.00938023223267373,5.490100011229515,0.0103768866278901,4.962800012435764,0.005500012775883079,0.0,64,54.23728813559322,F_compact_xaic,0.0,,,,54,215.76953125,requested_chunking,0.4576271186440678,confidence,"[""raw|default|identity""]",0.540599983651191,1.0,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\mobile_authenticator_flutter\android\.gradle\buildOutputCleanup\cache.properties,a79486349dd2e056bef1,PASS
True,17.185185185185187,0.0,binary,1,116,0.011550096046165605,4.458699986571446,0.0026548173827998216,19.398100004764274,0.0048000074457377195,0.0,62,53.44827586206897,G_compact_adaptive,0.0,,,,54,215.76953125,whole_file,0.46551724137931033,confidence,"[""raw|default|identity""]",0.21430000197142363,1.0,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\mobile_authenticator_flutter\android\.gradle\buildOutputCleanup\cache.properties,a79486349dd2e056bef1,PASS
True,17.185185185185187,0.0,binary,1,116,0.011180238166787999,4.606200003763661,0.003170752633885724,16.241700010141358,0.012800010154023767,0.0,62,53.44827586206897,H_full_v2,0.0,116,0.0,raw|default|identity,54,221.375,whole_file,0.46551724137931033,confidence,"[""raw|default|identity""]",0.31869998201727867,1.0,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\mobile_authenticator_flutter\android\.gradle\buildOutputCleanup\cache.properties,a79486349dd2e056bef1,PASS
